ca[deg],P[bar],T[K],HR[J/deg]
-180.0,1.0,350.0,-3.024499825061584e-28
-179.799,1.0000031301880203,350.0003019090663,-1.0221938401218607e-28
-179.599,1.000012449661616,350.0012007776038,-1.0806834092568154e-28
-179.399,1.0000279609941571,350.0026968484188,-1.1815575203639977e-28
-179.19899999999998,1.0000496649003994,350.0047901696378,-1.1817494064924295e-28
-178.999,1.0000775621009206,350.0074808221176,-1.2274405385857432e-28
-178.79899999999998,1.0001116535722938,350.0107688719256,-1.196501576295175e-28
-178.599,1.000151939990851,350.01465424841024,-1.2195391626304038e-28
-178.399,1.0001984226392617,350.01913704407497,-1.2711244065213207e-28
-178.199,1.0002511033805452,350.0242175444053,-1.272764841608088e-28
-177.99899999999997,1.000309983242344,350.0298955669691,-1.2746205142821646e-28
-177.799,1.000375063810204,350.03617111176646,-1.276693198296942e-28
-177.59900000000002,1.0004463480128054,350.0430447935626,-1.278869908292358e-28
-177.399,1.0005238371619793,350.0505162943469,-1.2812122548788934e-28
-177.199,1.0006075333350886,350.05858560878664,-1.2837235804869516e-28
-176.99900000000002,1.000697439818555,350.06725329083923,-1.2864362789743995e-28
-176.799,1.0007935590461379,350.07651934630246,-1.2893534078077434e-28
-176.599,1.0008958932941996,350.08638360623047,-1.292468805866745e-28
-176.399,1.0010044460504,350.0968464650957,-1.2957811347167924e-28
-176.199,1.0011192211192013,350.1079083977392,-1.2992883487174913e-28
-175.99900000000002,1.001240220898334,350.11956902627105,-1.302998300403588e-28
-175.79899999999998,1.0013674489417308,350.1318285078944,-1.3069129787880892e-28
-175.599,1.0015009106064767,350.14468788732,-1.3110245504715501e-28
-175.399,1.00164060837321,350.1581465552012,-1.3153441041385526e-28
-175.199,1.001786546013934,350.17220451153815,-1.3198760549531493e-28
-174.99899999999997,1.0019387297911198,350.18686301970934,-1.3246104896054683e-28
-174.79900000000004,1.0020971630186546,350.2021216453949,-1.329557277663548e-28
-174.599,1.002261849730109,350.21798025342287,-1.3347230705494802e-28
-174.399,1.002432796069147,350.2344397665337,-1.340102259924618e-28
-174.199,1.002610007268153,350.25150051702093,-1.3456964775367868e-28
-173.99900000000002,1.0027934872793534,350.2691620453974,-1.3515169793216073e-28
-173.79899999999998,1.002983242014223,350.2874248688641,-1.3575635970024498e-28
-173.599,1.0031792787543545,350.3062901599525,-1.3638285327308732e-28
-173.399,1.0033816013609331,350.3257571262837,-1.3703278889676354e-28
-173.199,1.0035902154442229,350.3458258379841,-1.377067626090244e-28
-172.999,1.0038051303787674,350.36649833477816,-1.3840296541542664e-28
-172.799,1.004026349968576,350.38777350620666,-1.3912350578073332e-28
-172.599,1.0042538802160133,350.40965135226963,-1.3986914836670554e-28
-172.399,1.0044877303907846,350.43213357454573,-1.4063852835381963e-28
-172.19899999999998,1.0047279064719492,350.4552199683068,-1.4143272846114976e-28
-171.999,1.0049744142672208,350.47891013838245,-1.4225310214730385e-28
-171.799,1.0052272624742664,350.50320518655053,-1.4309909319210837e-28
-171.59900000000002,1.005486459705938,350.5281060705749,-1.4397036557484784e-28
-171.39899999999997,1.005752011466463,350.55361193515614,-1.448689824580414e-28
-171.19899999999998,1.0060239258421142,350.57972325427994,-1.457952834705387e-28
-170.999,1.0063022140679443,350.6064421478447,-1.4674742411140937e-28
-170.799,1.0065868814070793,350.63376732906886,-1.4772818611358092e-28
-170.59899999999996,1.0068779356238253,350.6616987979525,-1.4873865128641758e-28
-170.39900000000003,1.0071753896233115,350.6902393139466,-1.4977608974096935e-28
-170.19899999999998,1.0074792493874567,350.71938768632026,-1.5084331832413978e-28
-169.999,1.007789522934217,350.7491437566402,-1.5194175127273382e-28
-169.799,1.0081062222189854,350.7795094640279,-1.5306981636267378e-28
-169.59900000000002,1.0084293565274856,350.81048515519973,-1.5422828598930624e-28
-169.39900000000003,1.008758933324018,350.8420700581383,-1.5541959067610386e-28
-169.19899999999998,1.0090949636054931,350.87426527703764,-1.5664342613737595e-28
-168.999,1.0094374598933726,350.9070726686208,-1.5789840181965297e-28
-168.799,1.0097864291895642,350.9404908897008,-1.5918798200011407e-28
-168.59900000000002,1.0101418815673606,350.97452021838023,-1.6051322095804421e-28
-168.399,1.01050383263092,351.0091639468246,-1.6187050034111637e-28
-168.19899999999998,1.0108722890533028,351.0444202268067,-1.6326430246024908e-28
-167.999,1.0112472609717256,351.0802890583267,-1.6469626317827042e-28
-167.799,1.0116287615833308,351.1167720677961,-1.6616423713012525e-28
-167.599,1.0120168017037572,351.15386942714247,-1.676696226735454e-28
-167.4,1.0124094052510715,351.19139246047547,-1.692054663076041e-28
-167.20000000000002,1.0128105285095712,351.22971810041923,-1.7078897320349711e-28
-166.99999999999997,1.013218228282898,351.26866059256633,-1.7241228749176198e-28
-166.8,1.0136325162829232,351.3082201921659,-1.7407697855762043e-28
-166.6,1.014053406098479,351.3483981183629,-1.7578306957506174e-28
-166.4,1.0144809091534586,351.38919423918344,-1.7753287135982665e-28
-166.20000000000002,1.0149150381375407,351.43060903952056,-1.7932757114422844e-28
-166.00000000000003,1.0153558076842695,351.47264401659714,-1.8116598201615568e-28
-165.79999999999998,1.0158032300710955,351.51529919171924,-1.8305054611603621e-28
-165.6,1.0162573186559112,351.5585750980302,-1.8498254213783437e-28
-165.4,1.0167180881292048,351.6024729404958,-1.869621956673233e-28
-165.20000000000002,1.0171855521163093,351.64699317727946,-1.889910615308379e-28
-164.99999999999997,1.0176597247529098,351.6921364510112,-1.9107046339535174e-28
-164.79999999999998,1.018140620693465,351.73790360491967,-1.9320130468862532e-28
-164.6,1.0186282546637637,351.7842954005047,-1.9538478685534631e-28
-164.4,1.0191226414460977,351.83131250751546,-1.9762243808326508e-28
-164.2,1.0196237961759762,351.878955697679,-1.9991547340951652e-28
-164.0,1.02013173425815,351.92722579080316,-2.022649406800814e-28
-163.79999999999998,1.0206464711469312,351.9761234942963,-2.046725881553168e-28
-163.6,1.0211680225800752,352.02564957322056,-2.0713993200081675e-28
-163.39999999999998,1.0216964046447352,352.07580490247454,-2.096678485262258e-28
-163.20000000000002,1.0222316334413188,352.12659020830256,-2.122583210801559e-28
-163.0,1.0227737253441591,352.1780062672884,-2.149131012823245e-28
-162.8,1.0233226972764382,352.23005411372196,-2.176327217513855e-28
-162.6,1.0238785660173577,352.2827345131077,-2.204192176904525e-28
-162.4,1.0244413485972956,352.33604826106284,-2.2327458774501533e-28
-162.2,1.02501106228494,352.3899961727327,-2.2620085261157794e-28
-162.0,1.0255877245573686,352.444579059217,-2.2920018085116283e-28
-161.8,1.0261713531012098,352.4997977275699,-2.322748931610178e-28
-161.6,1.0267619658138203,352.55565298079983,-2.3542746680366967e-28
-161.39999999999998,1.0273595811271483,352.61214586784007,-2.3865861419564874e-28
-161.20000000000002,1.0279642180892699,352.6692777461889,-2.419668041467794e-28
-161.00000000000003,1.0285758948071293,352.7270490742756,-2.453575721578239e-28
-160.8,1.0291946301502655,352.7854607302255,-2.488333649128998e-28
-160.60000000000002,1.029820443212527,352.8445135940051,-2.5239676484788055e-28
-160.4,1.0304533533133415,352.90420854742234,-2.5605049566593065e-28
-160.20000000000002,1.0310933799989996,352.96454647412645,-2.5979742806230037e-28
-160.0,1.0317405430439635,353.0255282596079,-2.6364058566691827e-28
-159.8,1.032394863224242,353.0871554242067,-2.6757792730644727e-28
-159.6,1.033056360689238,353.1494287878784,-2.716133711690138e-28
-159.4,1.0337250558052893,353.2123491597979,-2.757511120593094e-28
-159.2,1.0344009693801006,353.2759175214499,-2.7999411701108046e-28
-159.0,1.0350841224640686,353.3401348626783,-2.843454853516592e-28
-158.79999999999998,1.0357745363516753,353.40500218168614,-2.888084561612384e-28
-158.6,1.0364722325828983,353.47052048503554,-2.933864160252313e-28
-158.39999999999998,1.0371772330050573,353.53669084938934,-2.980823046074625e-28
-158.2,1.0378895599476374,353.60351459911715,-3.0289688940397376e-28
-158.0,1.0386092355279093,353.6709925949901,-3.078357157587875e-28
-157.8,1.0393362823184011,353.739125914507,-3.129024775249362e-28
-157.6,1.0400707231471393,353.80791564640293,-3.181010314780304e-28
-157.4,1.040812581099155,353.8773628906491,-3.2343540710661214e-28
-157.2,1.0415618795180137,353.9474687584528,-3.289098167963932e-28
-157.0,1.0423186420073631,354.01823437225744,-3.345286664249997e-28
-156.8,1.043082892360937,354.08966087786496,-3.4029354023586295e-28
-156.6,1.0438546546903054,354.1617494230007,-3.4620855940035357e-28
-156.4,1.044633953410719,354.2345011600495,-3.5227971483997793e-28
-156.20000000000002,1.045420813169351,354.30791725847985,-3.5851177779246834e-28
-156.0,1.0462152588804905,354.3819988991508,-3.6490973325162116e-28
-155.8,1.0470173157272,354.45674727431197,-3.7147879332605084e-28
-155.6,1.0478270091629978,354.5321635876035,-3.782244111470645e-28
-155.4,1.0486443649013413,354.60824905080085,-3.8515203580203726e-28
-155.20000000000002,1.0494694087185157,354.6850048308815,-3.9226290450760246e-28
-155.0,1.050302167009472,354.7624321976679,-3.9956583011095687e-28
-154.79999999999998,1.051142666303635,354.8405323942817,-4.070668915665984e-28
-154.6,1.0519909334077535,354.9193066747641,-4.147724488333583e-28
-154.40000000000003,1.0528469954077035,354.9987563040757,-4.226891604974189e-28
-154.2,1.053710879670307,355.07888255809667,-4.308240021329777e-28
-153.99999999999997,1.0545826138451788,355.15968672362663,-4.391842854327153e-28
-153.79999999999998,1.0554622257895112,355.24117009465425,-4.477737814169933e-28
-153.60000000000002,1.0563497436663472,355.32333397704036,-4.565976263766936e-28
-153.4,1.0572451960294715,355.40617969251736,-4.656665271054308e-28
-153.2,1.0581486116612087,355.48970857074426,-4.74988484962028e-28
-153.0,1.0590600196348647,355.57392195223827,-4.845718799426755e-28
-152.8,1.0599794493166983,355.65882118837476,-4.944254950155156e-28
-152.6,1.0609069303679144,355.7444076413871,-5.045585414959235e-28
-152.4,1.0618424927466847,355.83068268436705,-5.149806855089771e-28
-152.2,1.0627861666052312,355.917647741762,-5.256926743064949e-28
-152.0,1.0637379825473852,356.00530419052836,-5.367093005262743e-28
-151.8,1.0646979714290818,356.0936534382613,-5.480413094010287e-28
-151.6,1.0656661644049348,356.1826969059202,-5.596994351659117e-28
-151.4,1.0666425929360108,356.2724360256444,-5.716949403708736e-28
-151.20000000000002,1.0676272887919842,356.3628722407533,-5.8403964977167195e-28
-151.0,1.0686202840533143,356.45400700574606,-5.967459857016352e-28
-150.8,1.0696216110774,356.54584180369,-6.098220263723614e-28
-150.6,1.0706313025145862,356.63837813933446,-6.232735046009551e-28
-150.4,1.071649391427812,356.73161748267114,-6.371200168402912e-28
-150.2,1.0726759111515496,356.8255613381327,-6.513752546768706e-28
-150.00000000000003,1.0737108953413717,356.9202112217261,-6.660535925245085e-28
-149.79999999999998,1.0747543779762716,357.01556866103283,-6.811701330937094e-28
-149.60000000000002,1.075806393361012,357.1116351952088,-6.967407548872355e-28
-149.4,1.0768669761285,357.2084123749842,-7.127821618164825e-28
-149.20000000000002,1.0779361610848015,357.3059018111068,-7.292920784635858e-28
-149.0,1.0790139835655184,357.40410506504713,-7.462940749451864e-28
-148.8,1.0801004792155842,357.5030237179679,-7.6380938868177265e-28
-148.6,1.0811956839875316,357.6026593719064,-7.818564895821971e-28
-148.4,1.082299634173544,357.70301364065716,-8.004548767302532e-28
-148.2,1.083412366408065,357.80408814974845,-8.19625152366113e-28
-148.0,1.0845339176704385,357.90588453641885,-8.39389098823186e-28
-147.79999999999998,1.085664325287581,358.00840444959374,-8.597697585619418e-28
-147.6,1.086803626936688,358.1116495498619,-8.80791517445878e-28
-147.4,1.087951860647966,358.21562150945186,-9.024801914153622e-28
-147.2,1.0891090648073998,358.3203220122088,-9.248631167201337e-28
-147.0,1.0902752781595548,358.4257527535706,-9.479692438806337e-28
-146.8,1.091450539628428,358.5319154878982,-9.717889284877408e-28
-146.6,1.092634888401459,358.63881200674956,-9.962923998474945e-28
-146.4,1.0938283645640128,358.7464439750432,-1.0215694014674736e-27
-146.2,1.095031008287441,358.85481314322493,-1.0476487129949678e-27
-146.0,1.0962428601130754,358.963921273907,-1.0745606523361359e-27
-145.79999999999998,1.0974639609551153,359.0737701418617,-1.102337179275814e-27
-145.60000000000002,1.0986943521035544,359.18436153401547,-1.1310120041929511e-27
-145.39999999999998,1.099934075227134,359.29569724944236,-1.1606207021237165e-27
-145.20000000000002,1.1011831723763323,359.40777909935815,-1.1912008324350052e-27
-145.0,1.1024416859863897,359.52060890711385,-1.2227920643858322e-27
-144.8,1.1037096588803683,359.6341885081899,-1.255436308868439e-27
-144.60000000000002,1.1049871342722444,359.7485197501895,-1.2891778566341772e-27
-144.4,1.1062741557700397,359.86360449283285,-1.3240635233283727e-27
-144.2,1.107570766758933,359.9794447761732,-1.360021287287284e-27
-144.0,1.1088770119634472,360.0960423963734,-1.3971666926604551e-27
-143.8,1.110192936214867,360.2133992427931,-1.435559789740984e-27
