grid,velocity,eField,T,density,X_H2,X_O2,X_H2O,X_CH4,X_CO,X_CO2,X_N2,X_H,X_O,X_OH,X_HO2,X_H2O2,X_C,X_CH,X_CH2,X_CH2(S),X_CH3,X_HCO,X_CH2O,X_CH2OH,X_CH3O,X_CH3OH,X_C2H,X_C2H2,X_C2H3,X_C2H4,X_C2H5,X_C2H6,X_HCCO,X_CH2CO,X_HCCOH,X_N,X_NH,X_NH2,X_NH3,X_NNH,X_NO,X_NO2,X_N2O,X_HNO,X_CN,X_HCN,X_H2CN,X_HCNN,X_HCNO,X_HOCN,X_HNCO,X_NCO,X_AR,X_C3H7,X_C3H8,X_CH2CHO,X_CH3CHO,X_HCO+,X_H3O+,X_E
0.0,0.38022228946401954,9.057333081383615e-17,300.0,1.1225271624626305,8.22104403570696e-12,0.19011406843951673,3.2757716533652046e-18,0.09505703421971347,1.8451992156143644e-19,1.013337782157601e-21,0.7148288973325477,0.0,0.0,7.068518284615444e-18,0.0,0.0,4.09009424078218e-18,4.771220486621727e-33,1.4831861097077168e-19,4.463785382347172e-34,2.5073691573793876e-17,2.0584301500667998e-27,4.080433805780821e-18,6.497747222757424e-39,0.0,0.0,2.4902146784165946e-19,0.0,0.0,0.0,0.0,0.0,3.763358065947079e-37,0.0,1.4228928027276586e-18,0.0,9.27310524346252e-18,1.9536995855069664e-19,7.655740272975929e-20,0.0,0.0,0.0,0.0,2.3051659440763488e-18,0.0,8.045641724643834e-19,0.0,0.0,2.013035160252519e-22,0.0,1.1566316908015432e-19,0.0,0.0,1.0593135863701442e-20,8.0955116478377365e-19,1.8998394118039876e-35,0.0,3.3751350026198796e-18,8.810440450292352e-17,8.866322003299214e-16
0.006,0.3802222895485387,-2.1002463632801374,299.99999999998664,1.122527162213106,2.486277608667704e-10,0.19011406839425773,3.3229064729604293e-16,0.09505703419577102,2.0410774172448158e-17,1.4683680361052442e-19,0.7148288971613398,0.0,0.0,5.187904712874989e-20,0.0,0.0,1.5411774114602665e-24,1.8559371587843445e-39,1.1530007958805663e-24,4.454437251660699e-32,2.529049565723753e-15,2.9938660349099038e-25,4.1207799390029716e-18,9.591738490769086e-37,0.0,0.0,5.801695585417996e-26,0.0,0.0,0.0,0.0,0.0,3.4191913667538005e-35,0.0,1.4228928133217328e-18,0.0,1.3711153060079517e-20,2.023956748910272e-19,7.664189684243477e-20,0.0,0.0,0.0,0.0,2.305481551080376e-18,0.0,8.045699967658386e-19,0.0,7.861629626977342e-40,2.0144918172980903e-22,0.0,1.1566461371172973e-19,0.0,0.0,1.0593140011803783e-20,8.095514629968089e-19,3.241287629985156e-33,0.0,3.3809262724081966e-18,8.810665132638897e-17,8.820974773414699e-16
0.012,0.38022229210536823,-5.672815477057402,300.00000000017434,1.1225271546645992,7.519206787036913e-09,0.1901140670255068,3.214985333507209e-14,0.09505703347167416,1.7421328896186436e-15,1.1804146023351099e-17,0.7148288919835668,4.0301586928655784e-24,0.0,0.0,2.1367912517259327e-17,8.641857146462602e-18,5.833081749753804e-31,0.0,8.941523575266283e-30,0.0,1.01174903275187e-14,4.305484166817167e-31,6.069668662359536e-18,2.0933823077255745e-36,0.0,1.6556401533898018e-21,1.3549948815212551e-32,0.0,2.1861105476042213e-40,1.6034790430586002e-20,0.0,0.0,2.754600719454367e-35,0.0,1.4228942530440383e-18,0.0,2.0372603230893684e-23,6.856342414320257e-19,8.544733182073203e-20,4.521201905978885e-34,0.0,0.0,0.0,2.304834206268089e-18,0.0,8.054585505875757e-19,0.0,1.6903566026105506e-43,2.226512771006624e-22,0.0,1.1587487076278337e-19,0.0,0.0,1.0593172528780332e-20,8.096107918450948e-19,2.5419953330700883e-33,0.0,3.3880396089870798e-18,8.815151262366704e-17,1.4365926336137961e-15
0.015,0.38022232143086127,-9.416747175013668,300.0000000092063,1.1225270680871928,9.088410316244837e-08,0.1901140513311991,1.246482903583709e-12,0.09505702516854911,7.337580776126761e-14,6.467081617319459e-16,0.714828832614808,8.49656700858788e-24,1.745186182198799e-17,1.2049519670099635e-20,8.71055322931024e-16,4.948558615791849e-16,4.493590258593512e-37,0.0,0.0,0.0,1.5600887428289555e-14,2.4289705060907073e-34,1.1347759723913547e-16,3.369258662546296e-36,2.4107080592775772e-24,1.4247957318824835e-17,6.391203644937733e-39,4.4639850937331075e-18,3.853044970238791e-39,2.6631303516175718e-17,0.0,0.0,5.10341395053423e-35,0.0,1.4229862971212251e-18,0.0,6.162678793863544e-26,1.3210233366175207e-17,4.306730951533046e-19,9.531823061772786e-34,0.0,6.008481257992816e-19,0.0,2.316976609456197e-18,0.0,8.551636483008054e-19,0.0,0.0,1.3825799674139404e-21,1.4863878227406744e-23,1.2737819960371115e-19,0.0,0.0,1.0593853886875029e-20,8.140630839494713e-19,1.1673787400018199e-32,3.0488089617874627e-20,3.3947054731800213e-18,8.818055013744566e-17,2.910763935356988e-15
0.0165,0.3802224970420248,-12.817674107256195,300.0000001857185,1.1225265496321144,5.896586813716612e-07,0.19011395742869217,2.472228596417252e-11,0.09505697547972779,1.5814732446991938e-12,1.8095147159334116e-14,0.7148284774065168,1.5396952324082005e-23,3.634931797081891e-16,2.1678629396238588e-19,1.8690892612018274e-14,1.078437382495695e-14,7.0438077008242635e-43,0.0,7.899965768025612e-32,4.2375990612007314e-33,2.0467057308369965e-14,1.9057614381535976e-31,3.1000904209305322e-15,7.4155571331250675e-34,7.560498959582889e-23,4.17458655314472e-16,6.907327525380682e-45,1.3276882579710655e-16,9.777933822686937e-37,7.457372064209141e-16,0.0,0.0,1.6718664144556598e-32,4.789326461882634e-18,1.42594834992899e-18,0.0,5.824973860070857e-28,1.7864795889295567e-16,7.284392751089527e-18,1.72729700048555e-33,6.897134598238943e-17,2.842202866551118e-17,2.689715525775703e-20,2.5836386956037776e-18,0.0,2.2576736195134303e-18,0.0,9.654668925878795e-50,3.3401372842341405e-20,4.492940059294932e-22,4.449191092792399e-19,0.0,0.0,1.0618825749645183e-20,9.822306018460145e-19,5.504011455034141e-30,2.527785552041257e-18,3.374731502774353e-18,8.815769011871278e-17,5.213366770228148e-15
0.018,0.3802239605391902,-20.539605670414183,300.0000048276417,1.1225222289827235,4.734819795043976e-06,0.19011317694897337,6.376676566976292e-10,0.09505656225733139,4.441723905207097e-11,6.632679724813215e-13,0.7148255252900515,3.799875911695643e-23,7.039041085949928e-15,4.146208112523158e-18,5.236700970042708e-13,3.042956432992447e-13,1.1036963881934824e-48,4.521206722645089e-47,1.5731860275020032e-29,5.217241699221667e-31,6.859849995017013e-14,1.3462591149379108e-28,1.1482426644170618e-13,5.360666250234695e-31,8.292574071576912e-21,1.5767847611579252e-14,5.461769159416278e-43,4.629850149269813e-15,6.33770212499791e-34,2.6890978216565025e-14,0.0,1.6542286003275158e-14,1.126676539897697e-29,2.38594607152365e-16,1.5539469648756368e-18,0.0,6.540034690686648e-26,3.1474864696396937e-15,1.909877303291683e-16,4.2628507330837285e-33,2.0627358388422997e-15,9.630099581684208e-16,1.034533519386862e-18,1.0199049338083018e-17,0.0,5.5490504312470803e-17,0.0,0.0,1.222539447543605e-18,1.6583487639036508e-20,1.2238001598281301e-17,0.0,0.0,1.1878906823802071e-20,9.507340730950457e-18,3.816455762620283e-27,1.1139116150267105e-16,2.902049882519392e-18,8.868464403500968e-17,1.1720975867819187e-14
0.018749999999999996,0.3802287443910655,-27.816818908038936,300.00005117943596,1.1225081059577031,1.817132682894866e-05,0.1901106461228275,6.715689395027214e-09,0.09505522020578835,5.060327461475617e-10,9.689837454310856e-12,0.7148159551002524,1.5584668189273931e-22,5.6168427366256324e-14,3.339825979584111e-17,5.953263909837617e-12,3.4806103112491178e-12,0.0,3.738101101078241e-46,1.2723075085074303e-27,3.1447366370877145e-29,5.087119917081459e-13,1.565647744123152e-26,1.6960616519863265e-12,6.427646421758086e-29,8.478088448353465e-19,2.3683405198899004e-13,6.110248102380829e-41,6.430024219044951e-14,7.332148026004655e-32,3.866284176504957e-13,4.661843747926199e-25,4.169082011936286e-13,1.2487041433547208e-27,4.0559359409053916e-15,3.643849867285106e-18,2.0921363027358954e-19,3.924524237684625e-24,2.3497473093457767e-14,2.060222158539576e-15,1.748332932167397e-32,2.3711238767566626e-14,1.285301987386279e-14,1.525395988327169e-17,9.263760892508275e-17,1.5717109214127404e-41,8.19819202874806e-16,4.504331826232572e-19,6.409436894698968e-47,1.793228317256907e-17,2.4330084398961853e-19,1.7795417872728517e-16,6.611741137654507e-21,0.0,3.5886862895246686e-20,1.7263710012588843e-16,4.381536260000153e-25,1.9046011280537516e-15,1.5803500178416402e-18,9.003797618053799e-17,2.2010961700657348e-14
0.019124999999999996,0.3802378930904568,-33.34942697415783,300.0002941745581,1.1224810978940358,4.330741802516447e-05,0.19010590672699623,3.837015215671304e-08,0.09505269714699406,3.1087018129305125e-09,7.509118853820802e-11,0.7147980470704945,1.237166745136403e-21,2.4582789571813073e-13,1.6241482844704357e-16,3.6500401499558504e-11,2.1461260117143376e-11,0.0,0.0,3.911008877704818e-26,8.395982591382667e-28,2.7926372221008993e-12,5.3153379908000485e-25,1.3280903488095606e-11,2.2592927391603402e-27,3.890974246704216e-17,1.883916803282566e-12,2.195589897505744e-39,4.750899192230861e-13,2.7269629427902326e-30,2.9513985080683125e-12,1.211686701754793e-22,3.5072222731952553e-12,4.041165832417309e-26,3.6172980331628724e-14,2.1227272636853842e-17,1.6581948753324085e-18,7.65163453731091e-23,9.832998914907399e-14,1.2037026853151476e-14,1.3878783367973138e-31,1.4665303531027576e-13,9.145834773011059e-14,1.1913814767860912e-16,5.594051538522579e-16,2.5702363721522543e-39,6.498071233437253e-15,8.433718924536558e-18,1.3748203432939879e-45,1.395115534775027e-16,1.8928851344412837e-18,1.3836969086288258e-15,3.0589954757446645e-18,0.0,2.705927516367044e-19,1.7741715999617684e-15,1.4744043029486905e-23,1.7121798603267634e-14,4.803674917877549e-19,9.10466215841985e-17,3.342060822037329e-14
0.019499999999999997,0.3802651558004656,-42.50606591931109,300.00207340931195,1.122400622793449,0.00011438139701781892,0.1900924688518621,2.6872631000274625e-07,0.09504547937848727,2.3541590591314993e-08,7.2869166223989e-10,0.7147473766950965,2.601546969600284e-20,1.2762750519006545e-12,1.6374074670273954e-15,2.758241442344219e-10,1.631658045729458e-10,0.0,1.8818583003407316e-42,2.3235968687447145e-24,5.896900611247531e-26,1.9459134335079403e-11,2.7211354368588953e-23,1.3030554110290322e-10,1.2753531681402362e-25,1.9150890540019437e-15,1.8794982000297408e-11,2.0424460927597114e-37,4.382613510785572e-12,2.616038749908992e-28,2.8186708587995026e-11,1.2283838961842097e-20,3.627453547748094e-11,1.936505605658937e-24,4.0715760876786744e-13,2.2433402010138416e-16,1.3222130055148006e-17,1.989720448049441e-21,4.90175460805327e-13,8.636178908363449e-14,2.9185211101178836e-30,1.1185358526417623e-12,8.105230522913613e-13,1.1656852731314874e-15,4.238520318981263e-15,1.716990946938781e-37,6.46350775358829e-14,9.084659837436621e-17,8.450068233024804e-43,1.3594844857827351e-15,1.844544527714693e-17,1.3482580744889625e-14,3.355991529858654e-17,0.0,3.4081849386540677e-18,2.327173895070816e-14,7.324353036996133e-22,1.943679341660127e-13,2.8586579466090565e-20,9.158337174759404e-17,5.525268803277989e-14
0.019874999999999997,0.38035244494744647,-60.002088176447124,300.01509549868456,1.122143036982618,0.0003153278521236171,0.1900541859050796,1.9449272539389e-06,0.09502448272788833,1.8394170431171485e-07,7.2599847162204165e-09,0.7146038615734539,9.867688216631053e-19,6.873021015056872e-12,4.579848235078373e-14,2.150697013351336e-09,1.279801142728668e-09,0.0,7.461585600133396e-39,2.970133476843788e-22,1.1955031297910898e-23,1.411420741972602e-10,1.6821257532107573e-21,1.3122134211911207e-09,1.2034283156847081e-23,8.940869516537354e-14,1.9240991031193402e-10,5.422750556151839e-35,4.154869689559265e-11,7.125581025158831e-26,2.7646061160454285e-10,1.246588092308257e-18,3.8363509320691686e-10,9.91658673198724e-23,4.692014981649594e-12,2.57020945434189e-15,1.0548431446481987e-16,5.319255984331495e-20,2.541895452676077e-12,6.399555077967736e-13,1.1074098196991705e-28,8.801196632943538e-12,7.387389330395839e-12,1.1707840172201358e-14,3.323060547877624e-14,2.2858428506941857e-35,6.598193081485238e-13,9.415281913626772e-16,3.327806853799977e-39,1.3600069808309173e-14,1.8452537981139507e-16,1.348765952854312e-13,3.3831837923219003e-16,0.0,4.53580785173057e-17,3.118100681421306e-13,3.8492197382063256e-20,2.258696741479132e-12,2.49906016023801e-22,9.57817752472369e-17,1.0549937150329628e-13
