P[bar],断熱火炎t1[K]
1.01325,2221.1800304450567
2.01325,2236.671149099284
3.01325,2244.996169148266
4.01325,2250.568592615274
5.01325,2254.700412761714
6.01325,2257.953724133984
7.01325,2260.619064344472
8.01325,2262.865284065904
9.01325,2264.79878390165
10.01325,2266.49072053652
11.01325,2267.9909045925597
12.01325,2269.335490391283
13.01325,2270.55150464086
14.01325,2271.6596507789445
15.01325,2272.676118789023
16.01325,2273.6137943564695
17.01325,2274.4830908894387
18.01325,2275.292536766082
19.01325,2276.0491990948426
20.01325,2276.7589955109993
21.01325,2277.4269275822867
22.01325,2278.057258243296
23.01325,2278.653648558199
24.01325,2279.2192644593715
25.01325,2279.7568610028675
26.01325,2280.268849567658
27.01325,2280.7573519609987
28.01325,2281.2242443624345
29.01325,2281.671193301472
30.01325,2282.099685333702
31.01325,2282.5110516875097
32.01325,2282.906488865856
33.01325,2283.287075970175
34.01325,2283.6537893495174
35.01325,2284.0075150534963
36.01325,2284.3490594695527
37.01325,2284.6791584527464
38.01325,2284.998485195002
39.01325,2285.307657036119
40.01325,2285.607241382305
41.01325,2285.897760867571
42.01325,2286.1796978711886
43.01325,2286.4534984843176
44.01325,2286.7195760043255
45.01325,2286.9783140221
46.01325,2287.230069157838
47.01325,2287.4751734915535
48.01325,2287.7139367288314
49.01325,2287.9466481345835
50.01325,2288.173578264604
51.01325,2288.394980518845
52.01325,2288.6110925387757
53.01325,2288.8221374663194
54.01325,2289.028325080854
55.01325,2289.22985282789
56.01325,2289.4269067515943
57.01325,2289.619662341802
58.01325,2289.808285304337
59.01325,2289.992932263006
60.01325,2290.173751400617
61.01325,2290.3508830447204
62.01325,2290.5244602038038
63.01325,2290.6946090594165
64.01325,2290.8614494175
65.01325,2291.0250951236403
66.01325,2291.1856544454645
67.01325,2291.343230424977
68.01325,2291.4979212037783
69.01325,2291.6498203239694
70.01325,2291.7990170059634
71.01325,2291.9455964063563
72.01325,2292.089639856731
73.01325,2292.231225085651
74.01325,2292.370426424341
75.01325,2292.507314998987
76.01325,2292.6419589087286
77.01325,2292.7744233924604
78.01325,2292.9047709837337
79.01325,2293.0330616560623
80.01325,2293.1593529579477
81.01325,2293.2837001400335
82.01325,2293.4061562734387
83.01325,2293.526772360973
84.01325,2293.645597441528
85.01325,2293.7626786876344
86.01325,2293.878061497446
87.01325,2293.9917895811514
88.01325,2294.1039050420295
89.01325,2294.2144484529526
90.01325,2294.323458928347
91.01325,2294.430974192126
92.01325,2294.5370306415084
93.01325,2294.6416634074913
94.01325,2294.744906411944
95.01325,2294.8467924213805
96.01325,2294.9473530979635
97.01325,2295.0466190477177
98.01325,2295.1446198660883
99.01325,2295.2413841811544
100.01325,2295.33693969475
101.01325,2295.4313132210746
102.01325,2295.524530723606
103.01325,2295.6166173501474
104.01325,2295.707597465919
105.01325,2295.7974946851714
106.01325,2295.8863319012617
107.01325,2295.974131314999
