P[bar],断熱火炎t1[K]
1.01325,2475.457080902089
2.01325,2511.2278212920974
3.01325,2531.593666800005
4.01325,2545.743715863599
5.01325,2556.5315307098854
6.01325,2565.2165408311466
7.01325,2572.464913384764
8.01325,2578.671229349921
9.01325,2584.0881984903776
10.01325,2588.8872369531296
11.01325,2593.1898610253597
12.01325,2597.085279410206
13.01325,2600.6408723280656
14.01325,2603.908747949183
15.01325,2606.9300138849694
16.01325,2609.7376560470775
17.01325,2612.358535731801
18.01325,2614.8148099045325
19.01325,2617.124963400958
20.01325,2619.304573512744
21.01325,2621.366885983492
22.01325,2623.3232555191025
23.01325,2625.1834872711984
24.01325,2626.956104809895
25.01325,2628.6485627563948
26.01325,2630.267417219227
27.01325,2631.8184636792826
28.01325,2633.3068494941663
29.01325,2634.7371664173634
30.01325,2636.113527237135
31.01325,2637.439629690304
32.01325,2638.7188100992935
33.01325,2639.954088648886
34.01325,2641.1482078156855
35.01325,2642.3036651533967
36.01325,2643.4227413978965
37.01325,2644.5075246697347
38.01325,2645.559931405061
39.01325,2646.5817245304083
40.01325,2647.5745293045434
41.01325,2648.539847176819
42.01325,2649.4790679520097
43.01325,2650.393480503322
44.01325,2651.284282236201
45.01325,2652.1525874731733
46.01325,2652.999434903761
47.01325,2653.8257942213686
48.01325,2654.632572051133
49.01325,2655.420617257433
50.01325,2656.1907257071907
51.01325,2656.9436445543174
52.01325,2657.680076101837
53.01325,2658.4006812904804
54.01325,2659.1060828561754
55.01325,2659.7968681933467
56.01325,2660.473591956156
57.01325,2661.136778425919
58.01325,2661.786923669475
59.01325,2662.424497509896
60.01325,2663.049945329167
61.01325,2663.6636897193343
62.01325,2664.2661319972867
63.01325,2664.8576535963625
64.01325,2665.4386173465396
65.01325,2666.0093686538266
66.01325,2666.5702365880347
67.01325,2667.1215348874844
68.01325,2667.6635628880026
69.01325,2668.1966063829564
70.01325,2668.7209384203943
71.01325,2669.2368200426945
72.01325,2669.744500973588
73.01325,2670.2442202569905
74.01325,2670.736206851648
75.01325,2671.220680185181
76.01325,2671.6978506707796
77.01325,2672.1679201895345
78.01325,2672.631082541221
79.01325,2673.087523865612
80.01325,2673.5374230371485
81.01325,2673.9809520344124
82.01325,2674.4182762866108
83.01325,2674.8495549987847
84.01325,2675.2749414569994
85.01325,2675.6945833153313
86.01325,2676.1086228656955
87.01325,2676.517197291762
88.01325,2676.920438908189
89.01325,2677.3184753859923
90.01325,2677.7114299651857
91.01325,2678.0994216554172
92.01325,2678.482565425392
93.01325,2678.8609723819827
94.01325,2679.234749939497
95.01325,2679.6040019798415
96.01325,2679.968829004122
97.01325,2680.329328276329
98.01325,2680.6855939594234
99.01325,2681.037717244387
100.01325,2681.385786472826
101.01325,2681.729887253045
102.01325,2682.070102570641
103.01325,2682.406512893361
104.01325,2682.7391962708757
105.01325,2683.068228429776
106.01325,2683.393682863784
107.01325,2683.7156309198326
108.01325,2684.0341418799912
109.01325,2684.3492830395126
110.01325,2684.661119781275
111.01325,2684.9697156468615
112.01325,2685.2751324042283
113.01325,2685.577430112498
114.01325,2685.8766671836656
115.01325,2686.1729004417184
116.01325,2686.46618517897
117.01325,2686.7565752101204
118.01325,2687.044122923813
119.01325,2687.3288793321085
120.01325,2687.6108941176544
121.01325,2687.8902156791005
122.01325,2688.166891174456
123.01325,2688.4409665626285
124.01325,2688.712486643332
125.01325,2688.9814950953273
126.01325,2689.2480345130825
127.01325,2689.5121464419685
128.01325,2689.7738714121033
129.01325,2690.0332489707
130.01325,2690.290317713378
131.01325,2690.5451153140075
132.01325,2690.797678553566
133.01325,2691.04804334778
134.01325,2691.296244773798
135.01325,2691.5423170957365
136.01325,2691.7862937894256
137.01325,2692.028207566071
138.01325,2692.268090395129
139.01325,2692.5059735262835
140.01325,2692.7418875107332
141.01325,2692.9758622215086
142.01325,2693.207926873253
143.01325,2693.438110041198
144.01325,2693.6664396794176
145.01325,2693.8929431386014
146.01325,2694.117647183048
147.01325,2694.340578007061
148.01325,2694.561761250941
149.01325,2694.781222016279
150.01325,2694.9989848807277
151.01325,2695.215073912407
152.01325,2695.4295126836423
153.01325,2695.6423242843744
154.01325,2695.853531335119
155.01325,2696.0631559993844
156.01325,2696.2712199957537
157.01325,2696.477744609775
158.01325,2696.6827507049547
159.01325,2696.8862587339295
160.01325,2697.0882887490043
161.01325,2697.2888604123937
162.01325,2697.487993006202
163.01325,2697.685705442006
164.01325,2697.882016270125
165.01325,2698.076943688804
166.01325,2698.2705055528663
167.01325,2698.462719382183
168.01325,2698.6536023699423
169.01325,2698.8431713906375
170.01325,2699.031443007777
171.01325,2699.2184334813937
172.01325,2699.4041587753118
173.01325,2699.588634564258
174.01325,2699.771876240671
175.01325,2699.9538989214097
176.01325,2700.13471745417
177.01325,2700.314346423777
178.01325,2700.4928001582616
179.01325,2700.6700927348656
180.01325,2700.8462379856783
181.01325,2701.0212495032897
182.01325,2701.1951406462194
183.01325,2701.367924544195
184.01325,2701.539614103279
185.01325,2701.710222010871
186.01325,2701.879760740521
187.01325,2702.048242556707
188.01325,2702.215679519412
189.01325,2702.3820834885514
190.01325,2702.5474661283624
191.01325,2702.7118389116517
192.01325,2702.875213123823
193.01325,2703.0375998669997
194.01325,2703.199010063834
195.01325,2703.3594544613597
196.01325,2703.5189436346745
197.01325,2703.6774879905456
198.01325,2703.8350977709288
199.01325,2703.9917830563977
200.01325,2704.1475537694096
201.01325,2704.3024196776455
202.01325,2704.4563903971275
203.01325,2704.609475395304
204.01325,2704.7616839940524
205.01325,2704.9130253726157
206.01325,2705.0635085705285
207.01325,2705.213142490303
208.01325,2705.361935900149
209.01325,2705.5098974367593
210.01325,2705.65703560776
211.01325,2705.8033587942764
212.01325,2705.948875253446
213.01325,2706.0935931207487
214.01325,2706.2375204124132
215.01325,2706.3806650276774
216.01325,2706.5230347510087
217.01325,2706.664637254365
218.01325,2706.8054800992722
219.01325,2706.9455707388424
220.01325,2707.084916519979
221.01325,2707.2235246851765
222.01325,2707.3614023746104
223.01325,2707.498556627932
224.01325,2707.634994386173
225.01325,2707.7707224935707
226.01325,2707.9057476992716
227.01325,2708.0400766591365
228.01325,2708.1737159373974
229.01325,2708.306672008284
230.01325,2708.438951257688
231.01325,2708.570559984731
232.01325,2708.7015044032946
233.01325,2708.8317906435263
234.01325,2708.9614247533727
235.01325,2709.0904126999335
236.01325,2709.218760370958
237.01325,2709.3464735762104
238.01325,2709.47355804878
239.01325,2709.6000194464564
240.01325,2709.7258633530396
241.01325,2709.8510952795127
242.01325,2709.975720665415
243.01325,2710.0997448799662
244.01325,2710.2231732233017
245.01325,2710.3460109275948
246.01325,2710.4682631582405
247.01325,2710.5899350149434
248.01325,2710.711031532863
249.01325,2710.8315576836567
250.01325,2710.951518376459
251.01325,2711.0709184590155
252.01325,2711.1897627186677
253.01325,2711.3080558832835
254.01325,2711.425802622312
255.01325,2711.5430075476124
256.01325,2711.6596752145315
257.01325,2711.775810122673
258.01325,2711.8914167168923
259.01325,2712.006499388118
260.01325,2712.1210624742325
261.01325,2712.235110260871
262.01325,2712.3486469823206
263.01325,2712.461676822228
264.01325,2712.5742039145443
265.01325,2712.6862323441087
266.01325,2712.7977661475516
267.01325,2712.9088093140062
268.01325,2713.0193657857294
269.01325,2713.1294394591882
270.01325,2713.2390341852206
271.01325,2713.348153770137
272.01325,2713.45680197627
273.01325,2713.5649825226037
274.01325,2713.6726990854995
275.01325,2713.7799552992733
276.01325,2713.8867547568943
277.01325,2713.993101010535
278.01325,2714.09899757222
279.01325,2714.204447914392
280.01325,2714.309455470534
281.01325,2714.414023635696
282.01325,2714.5181557671094
283.01325,2714.6218551846987
284.01325,2714.725125171652
285.01325,2714.82796897493
286.01325,2714.9303898057806
287.01325,2715.0323908403598
288.01325,2715.1339752200765
289.01325,2715.235146052145
290.01325,2715.3359064101687
291.01325,2715.436259334497
292.01325,2715.53620783279
293.01325,2715.635754880306
294.01325,2715.7349034206145
295.01325,2715.833656365847
296.01325,2715.9320165972345
297.01325,2716.029986965465
298.01325,2716.127570291177
299.01325,2716.22476936531
300.01325,2716.321586949561
301.01325,2716.4180257768144
302.01325,2716.5140885514093
303.01325,2716.609777949665
304.01325,2716.7050966202296
305.01325,2716.800047184401
306.01325,2716.8946322365514
307.01325,2716.988854344465
308.01325,2717.0827160497383
309.01325,2717.1762198680112
310.01325,2717.2693682894846
311.01325,2717.3621637791503
312.01325,2717.4546087771046
313.01325,2717.546705698956
314.01325,2717.6384569361376
315.01325,2717.729864856119
316.01325,2717.820931802881
317.01325,2717.9116600971006
318.01325,2718.0020520364847
319.01325,2718.0921098961117
320.01325,2718.1818359287004
321.01325,2718.271232364833
322.01325,2718.3603014133287
323.01325,2718.449045261486
324.01325,2718.5374660753505
325.01325,2718.625566000054
326.01325,2718.7133471599245
327.01325,2718.800811658938
328.01325,2718.8879615808023
329.01325,2718.974798989383
330.01325,2719.0613259287848
331.01325,2719.1475444237212
332.01325,2719.2334564797093
333.01325,2719.319064083277
334.01325,2719.4043692022856
335.01325,2719.4893737860657
336.01325,2719.5740797656995
337.01325,2719.658489054277
338.01325,2719.742603547003
339.01325,2719.826425121506
340.01325,2719.909955638061
341.01325,2719.993196939758
342.01325,2720.076150852669
343.01325,2720.158819186188
344.01325,2720.2412037331183
345.01325,2720.323306269896
346.01325,2720.405128556817
347.01325,2720.4866723381406
348.01325,2720.5679393424325
349.01325,2720.648931282629
350.01325,2720.729649856258
351.01325,2720.8100967455825
352.01325,2720.8902736178893
353.01325,2720.970182125546
354.01325,2721.0498239062417
355.01325,2721.129200583123
356.01325,2721.2083137650134
357.01325,2721.287165046511
358.01325,2721.365756008173
359.01325,2721.4440882167487
360.01325,2721.52216322524
361.01325,2721.599982573129
362.01325,2721.677547786469
363.01325,2721.7548603781224
364.01325,2721.8319218478096
365.01325,2721.908733682346
366.01325,2721.9852973557136
367.01325,2722.0616143293328
368.01325,2722.1376860519345
369.01325,2722.2135139601746
370.01325,2722.2890994782315
371.01325,2722.364444018262
372.01325,2722.4395489804824
373.01325,2722.514415753282
374.01325,2722.58904571334
375.01325,2722.6634402257914
376.01325,2722.7376006443255
377.01325,2722.811528311307
378.01325,2722.885224557954
379.01325,2722.9586907043695
380.01325,2723.0319280597114
381.01325,2723.1049379223864
382.01325,2723.1777215799807
383.01325,2723.250280309662
384.01325,2723.3226153778774
385.01325,2723.394728040876
386.01325,2723.466619544634
387.01325,2723.538291124941
388.01325,2723.609744007612
389.01325,2723.6809794084643
390.01325,2723.7519985335416
391.01325,2723.8228025791313
392.01325,2723.893392731946
393.01325,2723.9637701691286
394.01325,2724.033936058455
395.01325,2724.103891558386
396.01325,2724.1736378181117
397.01325,2724.2431759777382
398.01325,2724.3125071683567
399.01325,2724.3816325120883
400.01325,2724.450553122244
401.01325,2724.5192701033584
402.01325,2724.587784551314
403.01325,2724.656097553452
404.01325,2724.7242101885977
405.01325,2724.7921235271656
406.01325,2724.8598386312938
407.01325,2724.9273565549074
408.01325,2724.9946783437413
409.01325,2725.061805035497
410.01325,2725.128737659913
411.01325,2725.1954772387776
412.01325,2725.262024786124
413.01325,2725.328381308224
414.01325,2725.3945478036376
415.01325,2725.460525263437
416.01325,2725.5263146711004
417.01325,2725.591917002711
418.01325,2725.657333226957
419.01325,2725.722564305274
420.01325,2725.7876111918595
421.01325,2725.8524748337727
422.01325,2725.917156171
423.01325,2725.9816561365024
424.01325,2726.0459756563428
425.01325,2726.110115649636
426.01325,2726.174077028812
427.01325,2726.2378606994725
428.01325,2726.301467560532
429.01325,2726.3648985043787
430.01325,2726.428154416791
431.01325,2726.491236177089
432.01325,2726.5541446582065
433.01325,2726.616880726642
434.01325,2726.6794452426766
435.01325,2726.7418390603107
436.01325,2726.804063027376
437.01325,2726.86611798559
438.01325,2726.9280047706106
439.01325,2726.989724212059
440.01325,2727.0512771336867
441.01325,2727.1126643532507
442.01325,2727.173886682764
443.01325,2727.234944928426
444.01325,2727.2958398906867
445.01325,2727.3565723643346
446.01325,2727.4171431385503
447.01325,2727.47755299694
448.01325,2727.537802717597
449.01325,2727.5978930731394
450.01325,2727.6578248307446
451.01325,2727.717598752267
452.01325,2727.77721559425
453.01325,2727.836676107908
454.01325,2727.8959810392944
455.01325,2727.9551311292676
456.01325,2728.0141271135403
457.01325,2728.0729697227844
458.01325,2728.1316596826196
459.01325,2728.1901977136886
460.01325,2728.248584531635
461.01325,2728.3068208473182
462.01325,2728.364907366622
463.01325,2728.4228447907126
464.01325,2728.4806338159306
465.01325,2728.538275133894
466.01325,2728.5957694315894
467.01325,2728.6531173912945
468.01325,2728.7103196907124
469.01325,2728.7673770030365
470.01325,2728.824289996874
471.01325,2728.8810593363346
472.01325,2728.9376856811878
473.01325,2728.994169686706
474.01325,2729.0505120038433
475.01325,2729.1067132792195
476.01325,2729.162774155158
477.01325,2729.218695269759
478.01325,2729.2744772568767
479.01325,2729.330120746203
480.01325,2729.385626363317
481.01325,2729.4409947296285
482.01325,2729.496226462543
483.01325,2729.5513221754027
484.01325,2729.6062824775386
485.01325,2729.6611079743416
486.01325,2729.7157992672587
487.01325,2729.770356953832
488.01325,2729.8247816277403
489.01325,2729.8790738788493
490.01325,2729.9332342932044
491.01325,2729.98726345308
492.01325,2730.041161937033
493.01325,2730.094930319918
494.01325,2730.148569172868
495.01325,2730.2020790634383
496.01325,2730.2554605555497
497.01325,2730.3087142095064
498.01325,2730.3618405821185
499.01325,2730.4148402266146
500.01325,2730.467713692787
501.01325,2730.520461526906
502.01325,2730.5730842718635
503.01325,2730.6255824670957
504.01325,2730.677956648695
505.01325,2730.730207349373
506.01325,2730.782335098535
507.01325,2730.8343404222633
508.01325,2730.8862238434403
509.01325,2730.937985881616
510.01325,2730.98962705319
511.01325,2731.041147871308
512.01325,2731.0925488460243
513.01325,2731.1438304841963
514.01325,2731.1949932895964
515.01325,2731.246037762878
516.01325,2731.2969644017026
517.01325,2731.3477737005865
518.01325,2731.39846615111
519.01325,2731.4490422418303
520.01325,2731.499502458351
521.01325,2731.549847283315
522.01325,2731.600077196477
523.01325,2731.6501926746487
524.01325,2731.700194191794
525.01325,2731.75008221905
526.01325,2731.7998572246825
527.01325,2731.8495196741683
528.01325,2731.899070030197
529.01325,2731.948508752691
530.01325,2731.997836298829
531.01325,2732.0470531231163
532.01325,2732.0961596772972
533.01325,2732.1451564104505
534.01325,2732.1940437690323
535.01325,2732.2428221968416
536.01325,2732.2914921350475
537.01325,2732.340054022247
538.01325,2732.388508294477
539.01325,2732.436855385133
540.01325,2732.4850957252156
541.01325,2732.53322974307
542.01325,2732.5812578646287
543.01325,2732.6291805133187
544.01325,2732.6769981101233
545.01325,2732.7247110735684
546.01325,2732.772319819731
547.01325,2732.8198247623654
548.01325,2732.8672263127546
549.01325,2732.9145248798927
550.01325,2732.9617208703175
551.01325,2733.0088146883727
552.01325,2733.0558067359834
553.01325,2733.102697412808
554.01325,2733.149487116269
555.01325,2733.1961762414103
556.01325,2733.242765181146
557.01325,2733.2892543261705
558.01325,2733.335644064848
559.01325,2733.3819347834324
560.01325,2733.4281268659875
561.01325,2733.474220694409
562.01325,2733.5202166484487
563.01325,2733.5661151057307
564.01325,2733.611916441726
565.01325,2733.65762102984
566.01325,2733.7032292414196
567.01325,2733.748741445673
568.01325,2733.7941580098127
569.01325,2733.8394792989757
