P[bar],断熱火炎t1[K]
1.01325,2300.2323639603674
2.01325,2319.63862762317
3.01325,2330.201668982381
4.01325,2337.3270876888937
5.01325,2342.6395976770214
6.01325,2346.840307717845
7.01325,2350.2935823534367
8.01325,2353.2121037924085
9.01325,2355.730382137771
10.01325,2357.9386540701607
11.01325,2359.900259081313
12.01325,2361.661282573498
13.01325,2363.256249911275
14.01325,2364.711660740749
15.01325,2366.048274785034
16.01325,2367.2826419881144
17.01325,2368.4281572962745
18.01325,2369.4958063663835
19.01325,2370.494704501876
20.01325,2371.4324937637807
21.01325,2372.3156406424628
22.01325,2373.1496626334074
23.01325,2373.9393030857586
24.01325,2374.6886678199867
25.01325,2375.401333084155
26.01325,2376.080431743911
27.01325,2376.7287227454794
28.01325,2377.348647584793
29.01325,2377.942376581326
30.01325,2378.5118470785023
31.01325,2379.0587951963025
32.01325,2379.5847823930712
33.01325,2380.0912178181184
34.01325,2380.5793772265774
35.01325,2381.0504190695815
36.01325,2381.5053982483228
37.01325,2381.9452779256703
38.01325,2382.3709397137563
39.01325,2382.783192497012
40.01325,2383.1827801033814
41.01325,2383.5703879979496
42.01325,2383.9466491446906
43.01325,2384.3121491563315
44.01325,2384.667430833313
45.01325,2385.0129981760647
46.01325,2385.349319942041
47.01325,2385.676832807806
48.01325,2385.9959441872616
49.01325,2386.307034749753
50.01325,2386.6104606753543
51.01325,2386.9065556795545
52.01325,2387.195632834499
53.01325,2387.4779862111236
54.01325,2387.7538923628517
55.01325,2388.0236116679825
56.01325,2388.2873895478047
57.01325,2388.5454575723943
58.01325,2388.798034467718
59.01325,2389.045327033123
60.01325,2389.2875309794717
61.01325,2389.5248316953234
62.01325,2389.7574049489026
63.01325,2389.985417531657
64.01325,2390.2090278497967
65.01325,2390.4283864678346
66.01325,2390.643636609713
67.01325,2390.8549146205196
68.01325,2391.062350392969
69.01325,2391.266067761716
70.01325,2391.4661848679416
71.01325,2391.6628144978035
72.01325,2391.8560643956853
73.01325,2392.046037555464
74.01325,2392.2328324912314
